,l_1,l_2,l_3,l_4,l_5,l_6,p_1,p_2,p_3,p_4,p_5,p_6,brows_class
47,116.11157806838904,120.77050197329031,126.63261932042396,143.63863771721438,128.25222142436093,131.1675417746463,133.7400455172208,128.43782988634774,125.59054550650811,150.36092901377071,136.40700543447946,137.508207628154,round
48,139.24478630135633,145.28548079135467,150.36124995415037,154.44003482817618,146.01306580669552,150.72581282236015,151.98081144832048,144.7666793957727,139.01063367145952,154.58071166109713,145.0008196190851,148.5704343851615,round
49,138.33544340236253,142.87273955047542,148.78378965382356,154.73130309062807,144.9142489927847,147.73313732065336,142.22092024226072,135.6528172129125,122.04040507383988,138.94272210640392,130.00111906853607,142.9225456685285,round
50,140.5740484428363,141.85411903892327,146.92983867029125,159.13871534547562,148.2405199151872,147.6214866443416,143.05372654206903,131.7779475005178,110.41715715403939,126.60430596423035,117.32556995420886,137.58125869743466,round
51,126.71504830144029,133.18233008530356,136.35118092149156,147.2826306678843,136.6276076310898,142.72853600219233,138.420406128696,135.0106227882436,129.7338048095682,150.08401406811223,139.15071990147777,143.82974466790907,round
52,128.46336635120292,136.053916632817,141.31618848819681,147.33908727832622,136.7357045889284,143.39666833780015,145.8790732698829,142.1250163489018,136.99904114756075,153.84979436163303,144.6843388209321,149.014248927927,round
53,131.33282060887382,139.6504198558248,142.4398251562909,148.37203643774603,139.57622625793815,147.85351042465624,143.09775956455988,138.1968722905434,130.17085729276903,148.50443582022174,138.45601817156464,145.61965527615513,round
54,141.4885911255455,144.16234704572173,146.3546249606759,159.0389342654584,149.6973192795119,151.92751306414704,149.38270868433398,143.67858927205086,140.90213945296452,158.80119380616543,148.0998430822663,149.0755409785772,round
55,126.69869562693899,137.75424822800022,144.65250810625778,143.37425902759907,133.67462715607783,143.47415623771707,145.53271182314202,142.3343788014167,134.61287224584905,150.2551187030578,142.12501634890182,149.57421619803876,round
56,122.63173666347708,128.96015031971282,134.360407941776,144.54754145035972,132.5790657987759,137.55289814717176,134.19671967868584,130.31703729996445,128.4250571509112,152.91382927123084,139.50025582444232,140.13489835832934,round
57,114.66853287386871,123.92257086228146,132.08156527921844,140.59933933652056,125.71307248750301,133.35402250243595,139.05853084777593,136.2286755280136,137.70294403781472,160.0168934781,147.72435568542238,144.86580694308435,round
58,133.25627397525406,137.89879101553836,143.34142746139943,151.7113831701495,141.12362815767412,144.23365341726185,134.38394009160078,127.60441868009883,120.44114989701416,143.13010235415598,130.44623202084136,135.84252426074042,round
59,119.64632214040579,132.51044707800085,131.0868404750126,137.12109639666144,131.11209043916693,146.5466905459273,136.78991060824606,130.22315043041303,128.418055344822,153.434948822922,138.17983011986425,137.9970425802837,round
60,122.57405713457253,133.7613653291031,139.63546342690265,140.71059313749967,130.8150838748816,141.40637860077385,142.64381846101486,134.87016193911833,129.32600822427324,149.4656853662025,137.11032550111898,140.59509216352697,round
61,133.05883279318158,137.22554066625997,136.78991060824606,153.052519080733,143.67317404787977,148.5491769858723,137.40794232356228,137.75478518871603,131.55112383714567,150.6569527657957,141.8260195613773,148.95316603047888,round
62,125.42840434624335,134.0245701926736,140.6583040536699,144.9484053186078,133.88185465388517,141.00218868350527,140.80769485409826,135.14288194698733,130.76576537661393,151.61664585847018,139.7878579950801,142.51842687944216,round
63,140.5740484428363,141.85411903892327,146.92983867029125,159.13871534547562,148.2405199151872,147.6214866443416,143.05372654206903,131.7779475005178,110.41715715403939,126.60430596423035,117.32556995420886,137.58125869743466,round
64,122.57405713457253,133.7613653291031,139.63546342690265,140.71059313749967,130.8150838748816,141.40637860077385,142.64381846101486,134.87016193911833,129.32600822427324,149.4656853662025,137.11032550111898,140.59509216352697,round
65,132.42506455748483,139.0235238427416,145.1822378428377,149.92963320767035,139.7624831938601,144.89102991212297,145.9967848936583,136.13167402730036,122.3118902559788,138.73139699916047,128.86559005607606,140.69292016473716,round
66,128.61341266645826,139.32039357788605,146.4648553398525,144.62143021919925,135.3203655633105,144.7861605221836,143.13010235415598,138.59643435889012,132.5517902783908,150.95799059418547,140.87524098583373,145.98065001017355,round
67,114.66853287386871,123.92257086228146,132.08156527921844,140.59933933652056,125.71307248750301,133.35402250243595,139.05853084777593,136.2286755280136,137.70294403781472,160.0168934781,147.72435568542238,144.86580694308435,round
68,119.78507564103428,130.0929350351997,135.1734784783245,140.10040103122583,129.10302262683268,138.85452842571823,138.90697085056047,142.211063973154,140.9254876942012,159.37066083135306,151.53129208670637,154.28274708387048,round
69,129.032175928482,130.83638737994676,138.8495426805374,153.22884978553788,138.32740424172655,137.27330798080206,140.66728567823915,144.01353937949673,140.02480772571047,156.61118515369773,150.39554925399509,156.24284598494103,round
70,120.61536194559481,130.92486863066506,140.9061411137705,140.71059313749964,128.61583606048754,136.1313674306825,140.9094045289013,134.72387789905451,131.8902135854786,153.87909325603397,140.76004084518271,141.65109602506368,round
71,127.68546565203377,136.40574926104634,142.41149285917885,146.45295708836022,136.03224469156572,143.53076560994813,145.93801951291857,142.10434994654494,141.2646515255811,160.4353190025902,149.60193778841844,149.06486273603235,round
72,132.14467696102642,134.62388431173557,136.16862287675445,154.3903297400639,142.79461895252385,145.0107805923426,137.64254529406472,135.83832204730822,131.90594194108286,153.15644744821614,142.25462602907837,146.0138328903514,round
73,123.92780798527279,138.81407483429035,147.07785702723424,138.54868197390445,130.27790278682755,144.10415603966163,148.40936135684112,143.3639459856228,141.4674589277915,158.81012091506585,148.53063029927492,148.7063289979522,high_arch
74,134.35805734399543,141.30785778799194,150.03932505740613,150.94539590092285,140.32574062476772,144.80249671524527,148.62783538066418,137.53968045034068,128.30350757571324,145.7961570738607,134.10014028509562,140.31989391780684,high_arch
75,141.80558044186478,147.69143969162127,153.434948822922,155.36503231239882,147.1313210666325,151.69924423399362,147.92543187907435,137.96984573683162,125.50673052291248,141.84277341263095,131.66726256958773,141.8472208068247,high_arch
76,135.71171220603568,135.99002580113503,142.69085246799153,158.1985905136482,144.37706069430436,142.1356011962806,149.3100266033391,134.0622064100555,106.22849703057868,118.43273001651217,110.77225468204583,137.3788722235236,high_arch
77,128.5367051726169,138.45834618972094,145.23192169642138,144.9262455066517,135.6241907953529,144.2726017772003,145.95391819236653,139.87914981670255,132.5822511266445,149.14558642585885,139.68326421783323,145.59252057226215,high_arch
